Gene	Symbol
ADCY1	ADCY1
IGFBP3	IGFBP3
TNS3	TNS3
C7orf57	C7orf57
SPATA48	SPMIP7
DDC	DDC
SEC61G	SEC61G
MRPS17	MRPS17
CCT6A	CCT6A
CHCHD2	CHCHD2
ZNF727	ZNF727
VKORC1L1	VKORC1L1
KCTD7	KCTD7
RABGEF1	RABGEF1
VPS37D	VPS37D
CLDN3	CLDN3
CLDN4	CLDN4
METTL27	METTL27
LAT2	LAT2
CLIP2	CLIP2
NCF1	NCF1
HIP1	HIP1
CCL24	CCL24
POR	POR
TMEM120A	TMEM120A
SRRM3	SRRM3
HSPB1	HSPB1
FGL2	FGL2
PTPN12	PTPN12
PHTF2	PHTF2
GNAI1	GNAI1
CD36	CD36
SEMA3C	SEMA3C
PCLO	PCLO
STEAP4	STEAP4
CLDN12	CLDN12
CDK14	CDK14
CYP51A1	CYP51A1
CDK6	CDK6
SAMD9L	SAMD9L
TFPI2	TFPI2
GNG11	GNG11
COL1A2	COL1A2
PON2	PON2
PDK4	PDK4
DYNC1I1	DYNC1I1
BRI3	BRI3
AZGP1	AZGP1
MCM7	MCM7
PILRA	PILRA
TFR2	TFR2
POP7	POP7
EPHB4	EPHB4
ACHE	ACHE
SERPINE1	SERPINE1
VGF	VGF
POLR2J2	POLR2J2
FBXL13	FBXL13
LRRC17	LRRC17
DNAJC2	DNAJC2
PUS7	PUS7
CDHR3	CDHR3
NAMPT	NAMPT
PRKAR2B	PRKAR2B
NRCAM	NRCAM
LRRN3	LRRN3
DOCK4	DOCK4
LINC01393	LINC01393
TFEC	TFEC
CAV1	CAV1
MET	MET
CFTR	CFTR
CPED1	CPED1
AASS	AASS
IRF5	IRF5
TSPAN33	TSPAN33
MEST	MEST
AC016831.7	LINC00513
LINC00513	LINC00513
LINC-PINT	LINC-PINT
MKLN1-AS	MKLN1-AS
AKR1B1	AKR1B1
TMEM140	TMEM140
DGKI	DGKI
CLEC2L	CLEC2L
TBXAS1	TBXAS1
TMEM178B	TMEM178B
SSBP1	SSBP1
MGAM	MGAM
CLEC5A	CLEC5A
TRBV3-1	TRBV3-1
TRBV5-1	TRBV5-1
TRBV6-1	TRBV6-1
TRBV6-2	TRBV6-2
TRBV6-4	TRBV6-4
TRBV9	TRBV9
TRBV11-1	TRBV11-1
TRBV10-2	TRBV10-2
TRBV12-2	TRBV12-2
TRBV6-5	TRBV6-5
TRBV5-4	TRBV5-4
TRBV5-6	TRBV5-6
TRBV6-8	TRBV6-8
TRBV7-9	TRBV7-9
TRBV13	TRBV13
TRBV10-3	TRBV10-3
TRBV12-3	TRBV12-3
TRBV12-5	TRBV12-5
TRBV14	TRBV14
TRBV15	TRBV15
TRBV18	TRBV18
TRBV20-1	TRBV20-1
TRBV23-1	TRBV23-1
TRBV24-1	TRBV24-1
TRBV25-1	TRBV25-1
TRBV27	TRBV27
TRBV28	TRBV28
TRBV29-1	TRBV29-1
TRBC1	TRBC1
EPHB6	EPHB6
TRPV6	TRPV6
KEL	KEL
PIP	PIP
EZH2	EZH2
LRRC61	LRRC61
RARRES2	RARRES2
LINC00996	LINC00996
TMEM176B	TMEM176B
TMEM176A	TMEM176A
ASIC3	ASIC3
WDR86-AS1	WDR86-AS1
PRKAG2-AS1	PRKAG2-AS1
XRCC2	XRCC2
INSIG1	INSIG1
VIPR2	VIPR2
CLN8	CLN8
MYOM2	MYOM2
DEFA4	DEFA4
DEFA3	DEFA3
CLDN23	CLDN23
FAM167A	FAM167A
CTSB	CTSB
LONRF1	LONRF1
RAB11FIP1	RAB11FIP1
EIF4EBP1	EIF4EBP1
HTRA4	HTRA4
ADAM9	ADAM9
IDO1	IDO1
SFRP1	SFRP1
ANK1	ANK1
CEBPD	CEBPD
PRKDC	PRKDC
MCM4	MCM4
AC026904.1	LINC02599
ATP6V1H	ATP6V1H
LYN	LYN
CERNA3	CERNA3
FAM110B	FAM110B
SDCBP	SDCBP
TOX	TOX
ASPH	ASPH
CYP7B1	CYP7B1
DNAJC5B	DNAJC5B
RRS1	RRS1
VXN	VXN
SGK3	SGK3
SLCO5A1	SLCO5A1
MSC-AS1	MSC-AS1
MSC	MSC
RDH10	RDH10
JPH1	JPH1
PKIA	PKIA
ZC2HC1A	ZC2HC1A
LINC02605	LINC02605
HEY1	HEY1
ZBTB10	ZBTB10
ZNF704	ZNF704
FABP5	FABP5
FABP4	FABP4
CHMP4C	CHMP4C
LRRCC1	LRRCC1
CA3-AS1	CA3-AS1
CA2	CA2
ATP6V0D2	ATP6V0D2
AC103760.1	WWP1-AS1
RIPK2	RIPK2
PIP4P2	PIP4P2
SLC26A7	SLC26A7
TRIQK	TRIQK
GEM	GEM
SDC2	SDC2
CPQ	CPQ
LAPTM4B	LAPTM4B
MATN2	MATN2
POP1	POP1
NIPAL2	NIPAL2
FBXO43	FBXO43
RNF19A	RNF19A
ZNF706	ZNF706
KLF10	KLF10
BAALC	BAALC
BAALC-AS1	BAALC-AS1
AC012213.3	LINC02933
DCAF13	DCAF13
DCSTAMP	DCSTAMP
ANGPT1	ANGPT1
AARD	AARD
SLC30A8	SLC30A8
MAL2	MAL2
DSCC1	DSCC1
FAM83A	SACK1A-AS1
ATAD2	ATAD2
MTSS1	MTSS1
SQLE	SQLE
TRIB1	TRIB1
LRATD2	LRATD2
CASC19	CASC19
MYC	MYC
LINC00824	LINC00824
CCDC26	CCDC26
ASAP1	ASAP1
SLA	SLA
CCN4	CCN4
NDRG1	NDRG1
ST3GAL1	ST3GAL1
KHDRBS3	KHDRBS3
ERICD	ERICD
PTK2	PTK2
PTP4A3	PTP4A3
ARC	ARC
PSCA	PSCA
LY6K	LY6K
LYPD2	LYPD2
MAFA	MAFA
EXOSC4	EXOSC4
GPAA1	GPAA1
BOP1	BOP1
LRRC24	LRRC24
LINC01388	LINC01388
PUM3	PUM3
RFX3	RFX3
ERMP1	ERMP1
IER5L	IER5L
NSMF	NSMF
USP6NL	USP6NL
ECHDC3	ECHDC3
